chromosome,start,end,population,avg_tmrca_myr,T_within_myr,Tpooled_Twithin_ratio,genes,gene_biotypes,descriptions,tr_overlap_percent,SRA_overlap_percent,
chr18_hap1_hsa16,2458000,2459000,Western,11.08485998,6.423073522,0.838494956,NPRL3,protein_coding,NPR3 like%2C GATOR1 complex subunit,3.8,37.7,
chr3_hap1_hsa4,4294000,4295000,Western,11.01948675,6.423047692,0.951421302,LOC750576,protein_coding,chitobiosyldiphosphodolichol beta-mannosyltransferase-like,0,26.6,
chr4_hap1_hsa5,154185000,154186000,Western,11.20978487,6.422644891,0.667096095,SGCD,protein_coding,sarcoglycan delta,2.1,65.1,
chr20_hap1_hsa19,55402000,55403000,Western,11.06464274,6.412542196,0.681897998,LOC456264,protein_coding,zinc finger protein 701,1.1,44,
chr2_hap1_hsa3,10360000,10361000,Western,12.75241861,6.41144701,1.117622077,LOC129143475,lncRNA,uncharacterized LOC129143475,1.2,26,
chr15_hap1_hsa14,18577000,18578000,Western,11.21993171,6.409819053,0.693830153,OR4K17,protein_coding,olfactory receptor family 4 subfamily K member 17,0,100,
chr1_hap1_hsa1,215894000,215895000,Western,12.22455027,6.405079051,1.064358998,FHAD1,protein_coding,forkhead associated phosphopeptide binding domain 1,0,46.4,
chr15_hap1_hsa14,77624000,77625000,Western,10.05077957,6.400834996,0.853188436,NRXN3,protein_coding,neurexin 3,1.2,96.1,
chr7_hap1_hsa8,25957000,25958000,Western,10.1904936,6.3997196,0.79059155,MTUS1,protein_coding,microtubule associated scaffold protein 1,1.8,95.3,
chr16_hap1_hsa15,92018000,92019000,Western,13.87380052,6.394311205,0.656731297,ADAMTS17,protein_coding,ADAM metallopeptidase with thrombospondin type 1 motif 17,0,80.6,
chr1_hap1_hsa1,86644000,86645000,Western,10.91564826,6.393083407,0.919106959,SH2D1B,protein_coding,SH2 domain containing 1B,3.3,85.2,
chr5_hap1_hsa6,179468000,179469000,Western,10.72004854,6.386860522,0.903251967,LOC463170,protein_coding,putative T-complex protein 10A homolog,0,81.4,
chr16_hap1_hsa15,92399000,92400000,Western,10.37490744,6.380175368,0.927815785,CERS3,protein_coding,ceramide synthase 3,0,87.8,
chr18_hap1_hsa16,84913000,84914000,Western,11.14433946,6.374534451,0.921374567,LOC104002707,lncRNA,uncharacterized LOC104002707,0,34,
chr6_hap1_hsa7,11933000,11934000,Western,10.70385519,6.373954891,0.851585239,LOC742579,protein_coding,mismatch repair endonuclease PMS2,1.2,32,
chr9_hap1_hsa11,7787000,7788000,Western,10.50288594,6.373671046,0.869312993,ART1,protein_coding,ADP-ribosyltransferase 1,0,38.1,
chr9_hap1_hsa11,30241000,30242000,Western,11.94518116,6.369355802,0.637685935,ANO3,protein_coding,anoctamin 3,4.2,80.5,
chr1_hap1_hsa1,28867000,28868000,Western,11.46069388,6.368363274,0.802509413,RAB3GAP2,protein_coding,RAB3 GTPase activating non-catalytic protein subunit 2,1.3,48.7,
chr16_hap1_hsa15,11122000,11123000,Western,11.72792493,6.363918652,0.734654438,LOC112205572,protein_coding,serine/threonine-protein kinase Nek4-like,0,89.9,
chr18_hap1_hsa16,86860000,86861000,Western,10.35662029,6.363459748,0.933963736,SNAI3,protein_coding,snail family transcriptional repressor 3,1.1,90,
chr5_hap1_hsa6,8275000,8276000,Western,10.70268852,6.35862037,0.926451347,LOC134810163,protein_coding,serine/threonine-protein kinase Nek4-like,3.8,91.5,
chr23_hap1_hsa22,46827000,46828000,Western,9.904474817,6.358434018,0.926080748,ARHGAP8,protein_coding,Rho GTPase activating protein 8,0,33.2,
chr2_hap1_hsa3,6667000,6668000,Western,10.37038525,6.358378832,0.736010114,CNTN4,protein_coding,contactin 4,0,100,
chr17_hap1_hsa18,73575000,73576000,Western,11.01388705,6.358160606,0.969824958,SERPINB12,protein_coding,serpin family B member 12,2.2,90.5,
chr2_hap1_hsa3,148295000,148296000,Western,10.65083742,6.35812977,0.736243611,LOC134809528,lncRNA,uncharacterized LOC134809528,0,94.1,
chr8_hap1_hsa10,64296000,64297000,Western,11.50637607,6.349745616,0.938242773,PRKG1,protein_coding,protein kinase cGMP-dependent 1,2.8,92.2,
chr13_hap1_hsa2b,130281000,130282000,Western,9.695598546,6.348638584,0.805344567,SPHKAP,protein_coding,SPHK1 interactor%2C AKAP domain containing,0,28.7,
chr6_hap1_hsa7,17078000,17079000,Western,11.2433613,6.345748765,0.997333206,LOC104007110,lncRNA,uncharacterized LOC104007110,2.2,56.5,
chr7_hap1_hsa8,14804000,14805000,Western,11.49292469,6.341998964,0.930592804,MFHAS1,protein_coding,multifunctional ROCO family signaling regulator 1,1.6,64.2,
chr4_hap1_hsa5,31840000,31841000,Western,10.95394986,6.340087897,0.981641197,EDIL3,protein_coding,EGF like repeats and discoidin domains 3,3.8,59.6,
chr14_hap1_hsa13,119088000,119089000,Western,10.40142391,6.339906915,0.863617135,ADPRHL1,protein_coding,ADP-ribosylhydrolase like 1,0,77.5,
chr2_hap1_hsa3,100308000,100309000,Western,10.50185049,6.331715602,0.906418429,EPHA6,protein_coding,EPH receptor A6,1.2,84.7,
chr7_hap1_hsa8,17808000,17809000,Western,10.22298302,6.325701965,0.784935142,FDFT1,protein_coding,farnesyl-diphosphate farnesyltransferase 1,2.5,51.7,
chr9_hap1_hsa11,95648000,95649000,Western,10.92882503,6.324096739,0.935865886,SMCO4,protein_coding,single-pass membrane protein with coiled-coil domains 4,1.6,56.3,
chr14_hap1_hsa13,107706000,107707000,Western,11.12694944,6.321708377,0.912178217,FGF14,protein_coding,fibroblast growth factor 14,3.9,87.9,
chr7_hap1_hsa8,13790000,13791000,Western,10.88335893,6.315242105,0.704847014,LOC129135633,lncRNA,uncharacterized LOC129135633,4.6,79.1,
chr13_hap1_hsa2b,132626000,132627000,Western,14.29730075,6.312145055,0.809534991,SP140L,protein_coding,SP140 nuclear body protein like,0,99.9,
chr21_hap1_hsa20,8264000,8265000,Western,11.54150018,6.311368895,0.643370827,SIRPB1,protein_coding,signal regulatory protein beta 1,2.3,36.4,
chr18_hap1_hsa16,56351000,56352000,Western,11.20658081,6.310010427,0.68729741,GINS3,protein_coding,GINS complex subunit 3,2.7,99.2,
chr18_hap1_hsa16,86165000,86166000,Western,9.921382452,6.309541888,0.903126587,BANP,protein_coding,BTG3 associated nuclear protein,4.3,46.5,
chr6_hap1_hsa7,84149000,84150000,Western,10.59591455,6.303843047,0.941561564,CALN1,protein_coding,calneuron 1,2.2,92.3,
chr14_hap1_hsa13,36407000,36408000,Western,11.85048462,6.300361831,0.815382015,LOC134808122,lncRNA,uncharacterized LOC134808122,1.1,21.5,
chr8_hap1_hsa10,122786000,122787000,Western,10.54641269,6.300004707,0.873111498,RBM20,protein_coding,RNA binding motif protein 20,1.2,94,
chr18_hap1_hsa16,23061000,23062000,Western,11.40893878,6.294550232,0.794317426,ACSM5,protein_coding,acyl-CoA synthetase medium chain family member 5,2.5,41.9,
chr9_hap1_hsa11,84234000,84235000,Western,10.69186984,6.293038433,0.774623476,LOC107967178,lncRNA,uncharacterized LOC107967178,2.6,99.3,
chr6_hap1_hsa7,159747000,159748000,Western,10.99255332,6.29259603,0.911198201,TPK1,protein_coding,thiamin pyrophosphokinase 1,4.3,96.8,
chr20_hap1_hsa19,9588000,9589000,Western,10.22258558,6.289329703,0.957390065,INSR,protein_coding,insulin receptor,0,85.5,
chr15_hap1_hsa14,102719000,102720000,Western,11.0739489,6.289139935,0.749823435,LOC104002188,lncRNA,uncharacterized LOC104002188,4.7,80.5,
chr9_hap1_hsa11,58646000,58647000,Western,10.29657474,6.288021305,0.693299168,LOC466561,protein_coding,olfactory receptor 8U9-like,0,93.4,
chr10_hap1_hsa12,103664000,103665000,Western,11.04401412,6.286298445,0.809255356,CFAP54,protein_coding,cilia and flagella associated protein 54,0,61.4,
chr16_hap1_hsa15,7009000,7010000,Western,10.68466265,6.286150285,0.867986001,LOC453251,protein_coding,putative HERC2-like protein 3,2.8,20.8,
chr9_hap1_hsa11,101242000,101243000,Western,10.9613709,6.282949283,0.713350814,CNTN5,protein_coding,contactin 5,3.3,100,
chr7_hap1_hsa8,26492000,26493000,Western,10.65824468,6.278873594,0.992882458,LOC107976252,lncRNA,uncharacterized LOC107976252,0,35.1,
chr1_hap1_hsa1,125303000,125304000,Western,10.43728653,6.266775177,0.927590008,LOC107967526,lncRNA,uncharacterized LOC107967526,0,99.9,
chr3_hap1_hsa4,37416000,37417000,Western,10.06850179,6.266326589,0.946118421,LOC107974074,lncRNA,uncharacterized LOC107974074,2.6,99.9,
chr14_hap1_hsa13,37389000,37390000,Western,10.8650012,6.264374925,0.840256435,LOC104001824,lncRNA,uncharacterized LOC104001824,1.5,42.7,
chr14_hap1_hsa13,42688000,42689000,Western,10.5948118,6.263057339,0.856340107,ENOX1,protein_coding,ecto-NOX disulfide-thiol exchanger 1,3.8,90.8,
chr5_hap1_hsa6,38628000,38629000,Western,11.0823978,6.26215122,0.88376258,PATR-DQA2,protein_coding,major histocompatibility complex%2C class II%2C DQ alpha 2,0,99.7,
chr8_hap1_hsa10,26105000,26106000,Western,10.66890156,6.261634378,0.811885164,UCMA,protein_coding,upper zone of growth plate and cartilage matrix associated,3.3,79.7,
chr15_hap1_hsa14,24324000,24325000,Western,9.894155906,6.258774518,0.831705634,LOC134808279,lncRNA,uncharacterized LOC134808279,3.9,95.7,
chr20_hap1_hsa19,54386000,54387000,Western,10.59872325,6.257046733,0.699321296,SIGLEC6,protein_coding,sialic acid binding Ig like lectin 6,1.4,91.4,
chr14_hap1_hsa13,87020000,87021000,Western,10.39922198,6.256463608,0.823633495,LOC134808242,protein_coding,T-box transcription factor TBX1-like,0,65.9,
chr7_hap1_hsa8,153673000,153674000,Western,12.06641755,6.250778413,0.743122446,TOP1MT,protein_coding,DNA topoisomerase I mitochondrial,0,40.3,
chr3_hap1_hsa4,22332000,22333000,Western,9.996877527,6.243498608,0.918809633,KCNIP4,protein_coding,potassium voltage-gated channel interacting protein 4,3,82.3,
chr9_hap1_hsa11,7562000,7563000,Western,10.31059731,6.24346779,0.747830475,LOC134807325,lncRNA,uncharacterized LOC134807325,1.4,99.8,
chr16_hap1_hsa15,53071000,53072000,Western,10.60972282,6.242127318,0.742313983,RORA,protein_coding,RAR related orphan receptor A,2.6,83,
chr8_hap1_hsa10,136602000,136603000,Western,10.6703343,6.24212267,0.984094624,LHPP,protein_coding,phospholysine phosphohistidine inorganic pyrophosphate phosphatase,4.2,68.1,
chr6_hap1_hsa7,27587000,27588000,Western,9.959829391,6.241795481,0.957095451,DNAH11,protein_coding,dynein axonemal heavy chain 11,3.7,99.9,
chr21_hap1_hsa20,22556000,22557000,Western,10.74357282,6.238392216,0.943705896,MACROD2,protein_coding,mono-ADP ribosylhydrolase 2,0,32.4,
chr5_hap1_hsa6,135122000,135123000,Western,10.62359755,6.236750978,0.876310096,TRDN,protein_coding,triadin,2.2,94.2,
chr3_hap1_hsa4,37896000,37897000,Western,10.68829983,6.233925289,0.842231227,C4H4orf19,protein_coding,chromosome 4 C4orf19 homolog,1.8,86.4,
chr16_hap1_hsa15,90104000,90105000,Western,12.35814552,6.230283787,0.912097449,LOC107968441,lncRNA,uncharacterized LOC107968441,0,87.3,
chr9_hap1_hsa11,9364000,9365000,Western,10.16615436,6.229129749,0.8636843,HBD,protein_coding,hemoglobin subunit delta,2.9,99.3,
